Mode,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP,SHAPE,SE_ANNO_CAD_DATA,In City Of Melbourne
BUS,6824,19551,Hardware Lane/Lonsdale St (Melbourne City),-37.8126,144.9606,1,"207,250,251,302,303,000,000,000,000,000,000,000,000,000,000",POINT (-37.812636 144.96064488),,True
BUS,6825,19554,Swanston St/Lonsdale St (Melbourne City),-37.8113,144.9653,1,"304,305,309,318,905,000,000,000,000",POINT (-37.81131003 144.96528204),,True
BUS,6826,19555,Tattersalls Lane/Lonsdale St (Melbourne City),-37.8113,144.9652,1,"309,906,907,908,303",POINT (-37.81132704 144.96520212),,True
BUS,6827,19558,Exhibition St/Lonsdale St (Melbourne City),-37.8098,144.9703,1,"303,304,305,309,318,000,000,000,000,000,000",POINT (-37.809828 144.97025184),,True
BUS,6834,19584,Stanley St/Spencer St (West Melbourne),-37.8082,144.9486,1,216,POINT (-37.80822699 144.94861296),,True
BUS,6835,19585,Hawke St/Spencer St (West Melbourne),-37.8069,144.9467,1,216,POINT (-37.80685998 144.94672008),,True
BUS,6836,19586,Abbotsford St/Spencer St (West Melbourne),-37.8059,144.9446,1,216,POINT (-37.80590301 144.94455396),,True
BUS,6837,19587,Dryburgh St/Spencer St (West Melbourne),-37.8056,144.9434,1,216,POINT (-37.80565002 144.94343688),,True
BUS,6838,19588,Hawke St/Spencer St (West Melbourne),-37.8074,144.9473,1,216,POINT (-37.80739296 144.94730688),,True
BUS,7042,2131,Faraday St/Lygon St (Carlton),-37.7989,144.9673,1,"207,200",POINT (-37.79893602 144.96733692),,True
BUS,6924,21056,Todd Rd/Wharf Rd (Port Melbourne),-37.8279,144.9089,1,"606,235",POINT (-37.82793096 144.90889308),,True
BUS,6926,2111,Lygon St/Elgin St (Carlton),-37.7973,144.968,1,"207,200",POINT (-37.79729802 144.96797196),,True
BUS,17099,7425,Dynon Rd/Kensington Rd (West Melbourne),-37.8005,144.9168,1,402,POINT (-37.800504 144.91676484),,True
BUS,18094,41068,Adderley St/Dudley St (West Melbourne),-37.8108,144.9484,1,220,POINT (-37.81083699 144.94840416),,True
BUS,18095,41069,Festival Hall/Dudley St (West Melbourne),-37.811,144.9474,1,220,POINT (-37.81103499 144.94735404),,True
BUS,18100,41078,Waterfront City/Footscray Rd (West Melbourne),-37.8118,144.9411,1,220,POINT (-37.81183599 144.94109508),,True
BUS,13909,45647,Mercy Health Aged Care/William St (Parkville),-37.7762,144.9398,1,505,POINT (-37.77617997 144.93975804),,True
BUS,13910,45648,Auckland Lane/Cade Way (Parkville),-37.7782,144.939,1,505,POINT (-37.77814998 144.93902184),,True
BUS,13911,45649,Parkville Ave/Garrard St (Parkville),-37.7792,144.9413,1,505,POINT (-37.77916302 144.94132116),,True
BUS,13913,45650,Royal Melb Hosp Royal Park/Poplar Rd (Parkville),-37.779,144.9467,1,505,POINT (-37.77904098 144.94673988),,True
BUS,13914,45651,Royal Park Station/Poplar Rd (Parkville),-37.7807,144.9509,1,505,POINT (-37.78065396 144.95085108),,True
BUS,13915,45652,Melbourne Zoo/Poplar Rd (Parkville),-37.7833,144.9548,1,505,POINT (-37.78330896 144.95477508),,True
BUS,13916,45653,Princes Park/Royal Pde (Parkville),-37.7854,144.9598,1,505,POINT (-37.78540497 144.95979312),,True
BUS,13917,45654,Royal Melbourne Hospital/Royal Pde (Parkville),-37.7977,144.9576,1,505,POINT (-37.79774001 144.95760216),,True
BUS,13918,45655,Princes Park/Royal Pde (Parkville),-37.785,144.9591,1,505,POINT (-37.784979 144.95910084),,True
BUS,13919,45656,Melbourne Zoo/Poplar Rd (Parkville),-37.7836,144.9549,1,505,POINT (-37.78357302 144.95494896),,True
BUS,13920,45657,Royal Park Station/Poplar Rd (Parkville),-37.7806,144.9507,1,505,POINT (-37.78061499 144.95069412),,True
BUS,13921,45658,Royal Melb Hosp Royal Park/Poplar Rd (Parkville),-37.7791,144.9466,1,505,POINT (-37.779093 144.94656888),,True
BUS,15046,3814,Sims St/Dynon Rd (West Melbourne),-37.8015,144.9137,1,"402,216",POINT (-37.801521 144.91366992),,True
BUS,16412,48728,Collins Square/Batmans Hill Dr (Docklands),-37.8212,144.949,1,"235,237,232",POINT (-37.82115702 144.94902696),,True
BUS,16413,48729,Batmans Hill Dr/Collins St (Docklands),-37.8204,144.9491,1,"235,237,232",POINT (-37.82043801 144.94911516),,True
BUS,16417,4874,Fishermans Bend/Wharf Rd (Port Melbourne),-37.8291,144.9071,1,"606,235",POINT (-37.82907 144.907065),,True
BUS,16420,4875,Todd Rd/Wharf Rd (Port Melbourne),-37.8278,144.9088,1,"606,235",POINT (-37.82782197 144.90882792),,True
BUS,16421,4876,Wirraway Dr/Todd Rd (Port Melbourne),-37.8262,144.9115,1,"606,235",POINT (-37.82624697 144.91150812),,True
BUS,16422,48761,Anderson St/Alexandra Ave (South Yarra),-37.8284,144.9854,1,605,POINT (-37.82838996 144.98535492),,True
BUS,16424,4877,Sabre Dr/Lorimer St (Port Melbourne),-37.8247,144.9066,1,237,POINT (-37.82467404 144.906633),,True
BUS,16425,4878,Canberra St/Lorimer St (Port Melbourne),-37.8273,144.9028,1,237,POINT (-37.82732697 144.90281988),,True
BUS,16426,4879,Sardine St/Lorimer St (Port Melbourne),-37.8295,144.9011,1,237,POINT (-37.82953098 144.90107604),,True
BUS,15139,40645,North Melbourne Station/Dryburgh St (West Melbourne),-37.8068,144.9426,1,401,POINT (-37.80680697 144.94264416),,True
BUS,15140,40647,Lincoln Square/Bouverie St (Carlton),-37.802,144.9623,1,402,POINT (-37.80198603 144.96233508),,True
BUS,17604,7450,Altona St/Kensington Rd (Kensington),-37.7962,144.9242,1,402,POINT (-37.79621001 144.92418804),,True
BUS,17605,7451,Derby St/Kensington Rd (Kensington),-37.7952,144.926,1,402,POINT (-37.79520498 144.92597616),,True
BUS,17606,7452,Kensington Station/Macaulay Rd (Kensington),-37.7944,144.9295,1,402,POINT (-37.79442 144.92951892),,True
BUS,17607,7453,Albermarle St/Macaulay Rd (Kensington),-37.7949,144.9338,1,402,POINT (-37.79492796 144.93379716),,True
BUS,17608,7454,Macaulay Station/Macaulay Rd (North Melbourne),-37.7952,144.9363,1,402,POINT (-37.79519697 144.936288),,True
BUS,17609,7455,Boundary Rd/Canning St (North Melbourne),-37.7955,144.9392,1,402,POINT (-37.79550999 144.93924288),,True
BUS,17610,7456,Melrose St/Canning St (North Melbourne),-37.7958,144.9413,1,402,POINT (-37.79581698 144.94130208),,True
BUS,17611,7457,Dryburgh St/Haines St (North Melbourne),-37.7984,144.9446,1,402,POINT (-37.79837001 144.94459284),,True
BUS,17612,7458,Abbotsford St/Haines St (North Melbourne),-37.7986,144.9468,1,402,POINT (-37.79860698 144.94678884),,True
BUS,17613,7459,Curzon St/Haines St (North Melbourne),-37.7989,144.9492,1,402,POINT (-37.79888301 144.949212),,True
BUS,17615,7460,O'Shanassy St/Errol St (North Melbourne),-37.7999,144.9501,1,402,POINT (-37.79989902 144.95010408),,True
BUS,17616,7461,Dowling Pl/Wreckyn St (North Melbourne),-37.801,144.9534,1,402,POINT (-37.80104697 144.95342292),,True
BUS,17617,7465,Swanston St/Grattan St (Carlton),-37.8006,144.9645,1,402,POINT (-37.80057303 144.96453216),,True
BUS,17618,7466,Lygon St/Grattan St (Carlton),-37.8008,144.9665,1,402,POINT (-37.80076896 144.96651396),,True
BUS,17619,7467,Rathdowne St/Grattan St (Carlton),-37.8011,144.9694,1,402,POINT (-37.801089 144.96937884),,True
BUS,9932,51570,Melbourne University/Pelham St (Carlton),-37.802,144.9603,1,"402,403,401",POINT (-37.80204201 144.96034608),,True
BUS,9933,51572,Melbourne University/Grattan St (Carlton),-37.8001,144.9621,1,402,POINT (-37.80011601 144.96207984),,True
BUS,9934,51573,Royal Melbourne Hospital/Flemington Rd (North Melbourne),-37.8002,144.9553,1,402,POINT (-37.80017901 144.955332),,True
BUS,9941,51581,Royal Melbourne Hospital/Grattan St (Parkville),-37.7994,144.9556,1,402,POINT (-37.79940897 144.95562612),,True
